epoch,node_train_loss,net_train_loss,node_val_loss,net_val_loss,node_test_loss,net_test_loss
0,18.43787488937378,29.405924606323243,13.744466781616211,18.763809204101562,14.726901054382324,21.916988372802734
1,16.90925874710083,27.51495018005371,11.689250946044922,16.381269454956055,13.008790016174316,19.584251403808594
2,15.154698181152344,24.885925102233887,9.022479057312012,12.734386444091797,10.98064136505127,16.03325843811035
3,13.551790332794189,20.934716606140135,6.563760280609131,7.66290283203125,9.515081405639648,11.130269050598145
4,12.56478910446167,16.419438219070436,6.058497905731201,4.277769565582275,9.453938484191895,6.645078182220459
5,12.538138246536255,13.506874561309814,6.14494514465332,7.661781311035156,9.603792190551758,7.416052341461182
6,12.573561477661134,13.839034986495971,6.113142967224121,6.760350704193115,9.564002990722656,6.903206825256348
7,12.492725849151611,13.693479204177857,6.081199645996094,5.9341864585876465,9.394648551940918,6.553280830383301
8,12.61345558166504,13.577223587036134,6.068512916564941,6.315818786621094,9.404650688171387,6.694301605224609
9,12.560618114471435,13.494497203826905,6.092344760894775,6.088940620422363,9.393468856811523,6.605909824371338
10,12.501830577850342,13.514090538024902,6.057124137878418,5.861852169036865,9.433378219604492,6.529578685760498
11,12.509054279327392,13.474568510055542,6.057279586791992,6.176443099975586,9.454248428344727,6.639702796936035
12,12.51364803314209,13.557315587997437,6.074023246765137,6.728008270263672,9.497903823852539,6.878111362457275
13,12.568734502792358,13.652595043182373,6.069267272949219,5.5799665451049805,9.41508960723877,6.448681354522705
14,12.50627784729004,13.556227874755859,6.056858539581299,6.942873477935791,9.462223052978516,6.981679439544678
15,12.506463098526002,13.49405379295349,6.05940055847168,6.265879154205322,9.470853805541992,6.672714710235596
16,12.521212196350097,13.478587675094605,6.06715726852417,5.790520668029785,9.495448112487793,6.505971431732178
17,12.503682851791382,13.533950567245483,6.0585150718688965,6.303876876831055,9.460866928100586,6.687094211578369
18,12.567628765106202,13.49920334815979,6.107709884643555,5.69297456741333,9.424445152282715,6.477664947509766
19,12.499816942214967,13.494319677352905,6.055997848510742,5.952632904052734,9.454038619995117,6.556962490081787
20,12.590423154830933,13.516824293136597,6.076869487762451,6.47573184967041,9.473998069763184,6.759577751159668
21,12.528855466842652,13.510892724990844,6.063131809234619,6.310134410858154,9.397664070129395,6.6871795654296875
22,12.527649545669556,13.508997535705566,6.059841156005859,6.211380958557129,9.422953605651855,6.650046348571777
23,12.552597856521606,13.489792633056641,6.067051410675049,5.940524101257324,9.51999568939209,6.552296161651611
24,12.501636123657226,13.487322235107422,6.062143325805664,6.382011890411377,9.506935119628906,6.716167449951172
25,12.55917272567749,13.521225500106812,6.130039691925049,6.528119087219238,9.460917472839355,6.781800270080566
26,12.5307297706604,13.47080659866333,6.057882308959961,5.897276878356934,9.481706619262695,6.537090301513672
27,12.537749862670898,13.501303339004517,6.070909023284912,5.808933734893799,9.515746116638184,6.511308193206787
28,12.506339120864869,13.509758949279785,6.059203147888184,6.345669269561768,9.460331916809082,6.707213878631592
29,12.500167751312256,13.516407918930053,6.059951305389404,6.537273406982422,9.479290962219238,6.789417743682861
30,12.51375789642334,13.51334834098816,6.072917938232422,6.108736038208008,9.457205772399902,6.61056661605835
31,12.507663106918335,13.499687337875367,6.063473224639893,5.8427934646606445,9.505897521972656,6.522207736968994
32,12.501991653442383,13.625959444046021,6.06667947769165,6.892732620239258,9.50334358215332,6.959153175354004
33,12.522685146331787,13.479410314559937,6.095476150512695,5.846636772155762,9.489534378051758,6.52156925201416
34,12.505352115631103,13.496203804016114,6.065824031829834,6.074162483215332,9.497297286987305,6.598221778869629
35,12.550318479537964,13.491761207580566,6.093201160430908,6.206057548522949,9.580329895019531,6.646668434143066
36,12.512055730819702,13.536289262771607,6.082113742828369,6.497913837432861,9.506430625915527,6.767980098724365
37,12.545679759979247,13.468439865112305,6.1424126625061035,6.07984733581543,9.48049545288086,6.599730014801025
38,12.510540628433228,13.487730407714844,6.062592029571533,6.170352935791016,9.492877006530762,6.6335530281066895
39,12.521615934371948,13.570005846023559,6.084647178649902,5.4506330490112305,9.572033882141113,6.422083377838135
40,12.49795937538147,13.54287509918213,6.0811567306518555,6.376049995422363,9.51995849609375,6.714083194732666
41,12.505282068252564,13.479349184036256,6.104881763458252,6.3672380447387695,9.522936820983887,6.710169315338135
